Mosque Name,Address,Maps Coordinates,Notes,Latitude,Longitude
Flemingdon Musalla,"747 Don Mills Rd., North York, ON M3C","43.71397743881764, -79.33480730012914",Small,43.71397743881764,-79.3348073
Darul Khair Islamic Centre,"35 St Dennis Dr Unit 133, North York, ON M3C 1G9","43.71828824994187, -79.32879734711095",Small,43.71828824994187,-79.32879735
Turkish Canadian Islamic Trust,"336 Pape Ave, Toronto, ON M4M 2W7","43.66784895560866, -79.34038173778231",Turkish language,43.66784895560866,-79.34038174
United Canadian Muslim Association,"184 Rhodes Ave, Toronto, ON M4L 3A1","43.6705391175671, -79.31961377777928",Turkish language,43.67053912,-79.31961378
Madinah Masjid (Mosque),"1015 Danforth Ave, Toronto, ON M4J 1M1","43.680411161171754, -79.33623789219712",Large mosque,43.680411161171754,-79.33623789
Masjid Taqwa,"14 Ladysmith Ave, Toronto, ON M4J 4H7","43.681004033509495, -79.33117394185032",Small,43.681004033509495,-79.33117394
Danforth Islamic Centre,"3018 Danforth Ave, East York, ON M4C 1M7","43.690976221936545, -79.29062963369726",Small,43.690976221936545,-79.29062963
Baitul Aman Masjid,"3114 Danforth Ave, Scarborough, ON M1L 1B1","43.69171340844231, -79.28754850047088",Smaller mosque,43.69171340844231,-79.2875485
Baitul Mukarram Islamic Society,"3340 Danforth Ave, Scarborough, ON M1L 1C6","43.69396421461475, -79.27777789500699",Good size,43.69396421461475,-79.2777779
The Sunatul Jamaat of Ontario Canada,"347 Danforth Rd, Scarborough, ON M1L 3X8","43.702994576740245, -79.26976760920044",Larger mosque,43.702994576740245,-79.26976761
Dar-e-arqaam,"101-47 Thorncliffe Park Dr, East York, ON M4H 1J6","43.70085520850564, -79.34315701341671",Small,43.70085520850564,-79.34315701
Musallah faizan-e-attar,"49 Thorncliffe Park Dr Apartment no.120, East York, ON M4H 1J6","43.70164628954226, -79.34189087445722",Small,43.70164628954226,-79.34189087
65 Musalla,"65 Thorncliffe Park Dr #1, East York, ON M4H 1L2","43.703523239611954, -79.34010948436404",Small,43.703523239611954,-79.34010948
Baitul Jannah Islamic Center,"2740 Kingston Rd, Scarborough, ON M1M 1M8","43.71884194423604, -79.2402212890869",Small,43.71884194423604,-79.24022129
Masjid Al-Hidaya (Markaz),"1100 Birchmount Rd, Scarborough, ON M1K 5H9","43.735475360962816, -79.28039965214224",Good size,43.735475360962816,-79.28039965
Masjid Huzaifah,"18 Progress Ave, Scarborough, ON M1P 2Y4","43.77008084799958, -79.28074071446466",Good size,43.77008084799958,-79.28074071
SMA Jame Abu Bakr Siddique Masjid,"2665 Lawrence Ave E, Scarborough, ON M1P 2S2","43.75173174446423, -79.26226960601626",Good size,43.75173174446423,-79.26226961
Masjid Subhan Scarborough,"2956 Eglinton Ave E, Scarborough, ON M1J 2E7","43.740290814791194, -79.23407314890085",Good size,43.740290814791194,-79.23407315
Masjid Bilal Muslim Association,"214 Markham Rd, Scarborough, ON M1J 3C2","43.744382565235796, -79.2197198145477",Small,43.744382565235796,-79.21971981
Daleel Islamic Association,"3545 Kingston Rd, Scarborough, ON M1M 1R6","43.73895240294874, -79.21566726240367",Small,43.73895240294874,-79.21566726
Jaame Masjid Scarborough (Central Mosque),"3665-3667 Lawrence Ave E, Scarborough, ON M1G 1P7","43.76043842612367, -79.22063354945911",Good size,43.76043842612367,-79.22063355
Masjid Al-Jannah,"2201 Ellesmere Rd, Scarborough, ON M1G 3M6","43.776508036254704, -79.23016628584509",Good size,43.776508036254704,-79.23016629
Al-Misbah Islamic Centre,"4383 Kingston Rd Unit 2, Scarborough, ON M1E 2N2","43.76578989261679, -79.19065917066602",Smaller mosque,43.76578989261679,-79.19065917
Masjid Ali,"151 Morningside Ave, Scarborough, ON M1E 2J2","43.76235998440984, -79.18293957716236",Small,43.76235998440984,-79.18293958
Muslim Circle of Canada Masjid,"3545 Kingston Rd, Scarborough, ON M1E 2P3","43.73907699712355, -79.21610612376557",Small,43.73907699712355,-79.21610612
Mecca Islamic Center,"3234 Eglinton Ave E, Scarborough, ON M1J 2H6","43.74424943342615, -79.2171259412165",Small,43.74424943342615,-79.21712594
Scarborough Muslim Cultural Centre,"3861 Lawrence Ave E, Scarborough, ON M1G 1R2","43.76282564492216, -79.20964336397232",Small,43.76282564492216,-79.20964336
Islamic Foundation of Toronto,"441 Nugget Ave, Scarborough, ON M1S 5E1","43.79804541998066, -79.24177339113646",Larger mosque,43.79804541998066,-79.24177339
Afzal Musalla,"168 Shorting Rd, Scarborough, ON M1S 3S7","43.79346042205449, -79.25065278935763",Small,43.79346042205449,-79.25065279
Spiritual Society Canada,"4 Old Kingston Rd, Scarborough, ON M1E 3J5","43.77437854329283, -79.18408116945186",Good size,43.77437854329283,-79.18408117
Masjid Syyadina Omar Farookh,"4640 Kingston Rd, Scarborough, ON M1E 2P9","43.775360085378004, -79.17753584901307",Good size,43.775360085378004,-79.17753585
Usman Gousi Mosque,"75 Kirkdene Dr, Scarborough, ON M1C 2N8","43.79473171904972, -79.138499599021",Small,43.79473171904972,-79.1384996
Masjid Zakariya,"11140 Sheppard Ave E, Scarborough, ON M1B 3W5","43.802500448125414, -79.1526146875257",Smaller mosque,43.802500448125414,-79.15261469
Agincourt Muslim Association,"3609B Sheppard Ave E, Scarborough, ON M1T 3K8","43.780191167446446, -79.298525004137",Smaller mosque,43.780191167446446,-79.298525
Faizan-e-Madina Canada,"595 Albion Rd, Etobicoke, ON M9V 1A1","43.73027846474983, -79.5551084951685",Smaller mosque,43.73027846474983,-79.5551085
Al Tawakkal Mosque,"1330 Gerrard St E, Toronto, ON M4L 1Z1","43.6718637372679, -79.32530098633643",Small,43.67186374,-79.32530099
Gawsul Azam Masjid,"250 Warden Ave., Scarborough, ON M1N 3A1","43.69022930118744, -79.27223047886443",Small,43.69022930118744,-79.27223048
Al Huda Muslim Society,"975 Kennedy Rd, Scarborough, ON M1P 2K5","43.74481034469978, -79.27254991220576",Smaller mosque,43.74481034469978,-79.27254991
Salaheddin Islamic Centre,"741 Kennedy Rd, Scarborough, ON M1K 2C6","43.730962814193774, -79.26621115509656",Good size,43.730962814193774,-79.26621116
