Store Name,Address,Maps Coordinates,Notes,Latitude,Longitude
Amin Bakery,"26 A Rexdale Blvd, Rexdale, ON M9W 5Z3","43.714180410143044, -79.55823449575249",Arab,43.714180410143044,-79.55823449575249
Baharak market,"1252 Lawrence Ave E, North York, ON M3A 1C3","43.7416274427011, -79.31808097675012",Afghan,43.7416274427011,-79.31808097675012
Al-Amir Meat Market,"1829 Lawrence Ave E, Toronto, ON M1R 2Y3","43.74303798072011, -79.30334894992437",Arab,43.74303798072011,-79.30334894992437
Savours Fresh Market,"3011 Bathurst St, North York, ON M6B 3B5","43.717886286989454, -79.42909254356407",Kosher,43.717886286989454,-79.42909254356407
Metro,"3090 Bathurst St, Toronto, ON M6B 4K2","43.71966809216192, -79.43052568582057",Kosher,43.71966809216192,-79.43052568582057
Nortown Foods,"892 Eglinton Ave W, Toronto, ON M6C 2B6","43.70086435898095, -79.42728710502658",Kosher,43.70086435898095,-79.42728710502658
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
